api_parsing | 2025-02-28 21:40:49 | WARNING | Не удалось получить продукты для категории Shampoo & Conditioner.
api_parsing | 2025-02-28 21:40:49 | INFO | Обрабатываем категорию: Conditioner (ID: conditioner-hair)
api_parsing | 2025-02-28 21:40:50 | ERROR | Серверная ошибка 500 для категории conditioner-hair, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:50 | WARNING | Не удалось получить продукты для категории Conditioner.
api_parsing | 2025-02-28 21:40:50 | INFO | Обрабатываем категорию: Treatments (ID: hair-products-treatments)
api_parsing | 2025-02-28 21:40:50 | ERROR | Серверная ошибка 500 для категории hair-products-treatments, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:50 | WARNING | Не удалось получить продукты для категории Treatments.
api_parsing | 2025-02-28 21:40:50 | INFO | Обрабатываем категорию: Hair Masks (ID: hair-masks)
api_parsing | 2025-02-28 21:40:51 | ERROR | Серверная ошибка 500 для категории hair-masks, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:51 | WARNING | Не удалось получить продукты для категории Hair Masks.
api_parsing | 2025-02-28 21:40:51 | INFO | Обрабатываем категорию: Leave-in Conditioner (ID: leave-in-conditioner)
api_parsing | 2025-02-28 21:40:52 | ERROR | Серверная ошибка 500 для категории leave-in-conditioner, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:52 | WARNING | Не удалось получить продукты для категории Leave-in Conditioner.
api_parsing | 2025-02-28 21:40:52 | INFO | Обрабатываем категорию: Hair Oil (ID: hair-oil-treatment)
api_parsing | 2025-02-28 21:40:52 | ERROR | Серверная ошибка 500 для категории hair-oil-treatment, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:52 | WARNING | Не удалось получить продукты для категории Hair Oil.
api_parsing | 2025-02-28 21:40:52 | INFO | Обрабатываем категорию: Scalp Treatments (ID: hair-treatment-dry-scalp-treatment)
api_parsing | 2025-02-28 21:40:53 | ERROR | Серверная ошибка 500 для категории hair-treatment-dry-scalp-treatment, стр. 1. Пропускаем категорию.
api_parsing | 2025-02-28 21:40:53 | WARNING | Не удалось получить продукты для категории Scalp Treatments.
